Meter: PO00000074, Command: BLOCK_LOAD, Execution: 2024-09-16 14:22:34

real_time_clock_-_date_and_time,average_voltage,block_energy__kwh_–_import,block_energy__kvah_–_import,block_energy__kwh_–_export,block_energy__kvah_–_export
2024-09-16 12:00:00,239.54,0.1880,0.1880,--,--
2024-09-16 11:30:00,239,0.1870,0.1870,--,--
2024-09-16 07:00:00,242.63,0.1920,0.1920,--,--
2024-09-14 10:00:00,--,--,--,--,--
2024-09-14 09:30:00,--,--,--,--,--
2024-09-14 09:00:00,--,--,--,--,--
2024-09-14 08:30:00,--,--,--,--,--
2024-09-14 08:00:00,--,--,--,--,--
2024-09-14 07:30:00,--,--,--,--,--
2024-09-14 07:00:00,--,--,--,--,--
2024-09-14 06:30:00,--,--,--,--,--
2024-09-14 06:00:00,--,--,--,--,--
2024-09-14 05:30:00,--,--,--,--,--
2024-09-16 06:30:00,245.33,0.1950,0.1950,--,--
2024-09-14 05:00:00,--,--,--,--,--
2024-09-14 04:30:00,--,--,--,--,--
2024-09-14 04:00:00,--,--,--,--,--
2024-09-14 03:30:00,--,--,--,--,--
2024-09-14 03:00:00,--,--,--,--,--
2024-09-14 02:30:00,--,--,--,--,--
2024-09-14 02:00:00,--,--,--,--,--
2024-09-14 01:30:00,--,--,--,--,--
2024-09-14 01:00:00,--,--,--,--,--
2024-09-14 00:30:00,--,--,--,--,--
2024-09-16 06:00:00,246.6,0.1970,0.1970,--,--
2024-09-14 00:00:00,--,--,--,--,--
2024-09-13 23:30:00,--,--,--,--,--
2024-09-13 23:00:00,250.02,0.1790,0.1790,--,--
2024-09-13 22:30:00,249.75,0.2020,0.2020,--,--
2024-09-13 22:00:00,249.67,0.2020,0.2020,--,--
2024-09-13 21:30:00,249.32,0.2010,0.2010,--,--
2024-09-13 21:00:00,250.56,0.2030,0.2040,--,--
2024-09-13 20:30:00,250,0.2020,0.2020,--,--
2024-09-13 20:00:00,247.02,0.1990,0.1990,--,--
2024-09-13 19:30:00,242.82,0.1930,0.1940,--,--
2024-09-16 05:30:00,248.24,0.1990,0.1990,--,--
2024-09-13 19:00:00,241.82,0.1920,0.1920,--,--
2024-09-13 18:30:00,241.91,0.1920,0.1930,--,--
2024-09-13 18:00:00,242.77,0.1930,0.1930,--,--
2024-09-13 17:30:00,243,0.1940,0.1940,--,--
2024-09-13 17:00:00,240.37,0.1900,0.1910,--,--
2024-09-13 16:30:00,241.49,0.1920,0.1920,--,--
2024-09-13 16:00:00,242.64,0.1930,0.1940,--,--
2024-09-13 15:30:00,243.67,0.1950,0.1950,--,--
2024-09-13 15:00:00,239.4,0.1900,0.1900,--,--
2024-09-13 14:30:00,238.38,0.1890,0.1900,--,--
2024-09-16 05:00:00,249.9,0.2000,0.2000,--,--
2024-09-13 14:00:00,239.9,0.1910,0.1910,--,--
2024-09-13 13:30:00,245.87,0.1980,0.1980,--,--
2024-09-13 13:00:00,245.92,0.1970,0.1970,--,--
2024-09-13 12:30:00,244.05,0.1950,0.1950,--,--
2024-09-13 12:00:00,243.11,0.1940,0.1940,--,--
2024-09-13 11:30:00,241.44,0.0840,0.0840,--,--
2024-09-13 11:00:00,239.49,0.0200,0.0200,--,--
2024-09-13 10:30:00,240.34,0.1900,0.1910,--,--
2024-09-13 10:00:00,242.04,0.1930,0.1930,--,--
2024-09-13 09:30:00,240.73,0.1910,0.1910,--,--
2024-09-16 04:30:00,250.85,0.2010,0.2020,--,--
2024-09-13 09:00:00,242.07,0.1930,0.1930,--,--
2024-09-13 08:30:00,242.59,0.1940,0.1940,--,--
2024-09-13 08:00:00,243.59,0.1940,0.1940,--,--
2024-09-13 07:30:00,243.79,0.1950,0.1950,--,--
2024-09-13 07:00:00,244.65,0.1960,0.1960,--,--
2024-09-13 06:30:00,245.45,0.1960,0.1960,--,--
2024-09-13 06:00:00,248.1,0.2000,0.2000,--,--
2024-09-13 05:30:00,250.35,0.2030,0.2030,--,--
2024-09-13 05:00:00,250.53,0.2030,0.2030,--,--
2024-09-13 04:30:00,250.76,0.2030,0.2030,--,--
2024-09-16 04:00:00,251.16,0.2030,0.2030,--,--
2024-09-13 04:00:00,251.5,0.2040,0.2040,--,--
2024-09-13 03:30:00,250.93,0.2030,0.2040,--,--
2024-09-13 03:00:00,251.2,0.2030,0.2030,--,--
2024-09-13 02:30:00,250.25,0.2030,0.2030,--,--
2024-09-13 02:00:00,249.81,0.2020,0.2020,--,--
2024-09-13 01:30:00,249.33,0.2010,0.2010,--,--
2024-09-13 01:00:00,248.43,0.2000,0.2010,--,--
2024-09-13 00:30:00,249,0.2010,0.2010,--,--
2024-09-13 00:00:00,248.84,0.2010,0.2010,--,--
2024-09-12 23:30:00,247.82,0.2000,0.2000,--,--
2024-09-16 03:30:00,250.7,0.2020,0.2020,--,--
2024-09-12 23:00:00,246.99,0.1990,0.1990,--,--
2024-09-12 22:30:00,246.75,0.1980,0.1980,--,--
2024-09-12 22:00:00,248.89,0.2010,0.2020,--,--
2024-09-12 21:30:00,249.59,0.2020,0.2020,--,--
2024-09-12 21:00:00,249.75,0.2020,0.2020,--,--
2024-09-12 20:30:00,249.8,0.2020,0.2030,--,--
2024-09-12 20:00:00,249.85,0.2030,0.2030,--,--
2024-09-12 19:30:00,247.47,0.1880,0.1880,--,--
2024-09-12 19:00:00,247.1,0.0400,0.0400,--,--
2024-09-12 18:30:00,244.9,0.0950,0.0950,--,--
2024-09-16 03:00:00,250.15,0.2010,0.2010,--,--
2024-09-12 18:00:00,244.78,0.0990,0.0990,--,--
2024-09-12 17:30:00,244.15,0.1720,0.1730,--,--
2024-09-12 17:00:00,241.24,0.1920,0.1920,--,--
2024-09-12 16:30:00,241.43,0.1920,0.1920,--,--
2024-09-12 16:00:00,242.37,0.1930,0.1930,--,--
2024-09-12 15:30:00,243.06,0.1940,0.1940,--,--
2024-09-12 15:00:00,240.59,0.1920,0.1920,--,--
2024-09-12 14:30:00,239.65,0.1900,0.1900,--,--
2024-09-12 14:00:00,242.06,0.1940,0.1940,--,--
