Command History

meter_id,command_name,start_time,updated_at,status,cmd_args,id,username
AL2073675,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519429,batch@polarisgrids.com
SE10000011,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519423,batch@polarisgrids.com
AL2073427,DAILY_LOAD,2024-09-16 18:09:43,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519427,batch@polarisgrids.com
AL2073897,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519424,batch@polarisgrids.com
AL2073706,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519426,batch@polarisgrids.com
AL2073466,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519428,batch@polarisgrids.com
AL2073998,DAILY_LOAD,2024-09-16 18:09:42,2024-09-16 18:12:03,FAILED,From: 2024-08-17 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519425,batch@polarisgrids.com
AL2073312,BLOCK_LOAD,2024-09-16 16:39:13,2024-09-16 18:11:49,FAILED,From: 2024-09-16 12:15:00 | To: 2024-09-16 16:15:00,518848,batch@polarisgrids.com
AL2073322,DAILY_LOAD,2024-09-16 18:11:43,2024-09-16 18:11:43,IN_PROGRESS,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519356,batch@polarisgrids.com
AL2073476,DAILY_LOAD,2024-09-16 18:11:43,2024-09-16 18:11:43,IN_PROGRESS,From: 2024-09-16 00:00:00+00:00 | To: 2024-09-16 00:00:00+00:00,519357,batch@polarisgrids.com
